¶ÏÃæ,date_beijing,¾­¶È,Î³¶È,point_id,is_train,date_gmt,time_gmt,time_beijing,station_B1,station_B2,station_B3,station_B4,station_B5,station_B6,station_B7,station_B8,station_B8A,station_B9,station_B11,station_B12,veg_B1,veg_B2,veg_B3,veg_B4,veg_B5,veg_B6,veg_B7,veg_B8,veg_B8A,veg_B9,veg_B11,veg_B12,anomaly_B1,anomaly_B2,anomaly_B3,anomaly_B4,anomaly_B5,anomaly_B6,anomaly_B7,anomaly_B8,anomaly_B8A,anomaly_B9,anomaly_B11,anomaly_B12,veg_corrected_B1,veg_corrected_B2,veg_corrected_B3,veg_corrected_B4,veg_corrected_B5,veg_corrected_B6,veg_corrected_B7,veg_corrected_B8,veg_corrected_B8A,veg_corrected_B9,veg_corrected_B11,veg_corrected_B12,Ë®ÎÂ_avg,pH_avg,ÈÜ½âÑõ_avg,¸ßÃÌËáÑÎÖ¸Êý_avg,°±µª_avg,×ÜÁ×_avg,×Üµª_avg,µçµ¼ÂÊ_avg,×Ç¶È_avg
312¹úµÀÇÅ,2019-11-15,120.415186,31.450267,point_0,1,2019/11/15,2:49,10:49:00,0.0586,0.0794,0.113,0.0972,0.0969,0.0567,0.059,0.0532,0.0482,0.0769,0.029,0.0241,0.0546284,0.064591344,0.091830533,0.10430828,0.139751504,0.188047542,0.206822227,0.225142264,0.225696099,0.221676054,0.202693285,0.144115303,-0.00735,-0.00365,0.0011,0.0145999999999999,0.0122999999999999,0.0112499999999999,0.01435,0.0112499999999999,0.0121999999999999,0.0065,0.00435,0.00505,0.0039715999999999,0.014808656,0.0211694669999999,-0.00710828,-0.042851504,-0.131347542,-0.147822227,-0.171942264,-0.176942264,-0.144776054,-0.0256284,-0.0305284,,,,,,,,,
312¹úµÀÇÅ,2019-11-20,120.415186,31.450267,point_0,1,2019/11/20,2:49,10:49:00,0.0447,0.0745,0.1032,0.0883,0.0851,0.0439,0.045,0.0423,0.0334,0.056,0.0292,0.0212,0.047596998,0.069445462,0.092206879,0.10437501,0.136314074,0.180104633,0.199754912,0.216891558,0.216125465,0.216823715,0.20146703,0.150490251,-0.02125,-0.00855,-0.0087,0.0056999999999999,0.0004999999999999,-0.00155,0.00035,0.0003499999999999,-0.0026,-0.0144,0.00455,0.00215,-0.002896998,0.0050545379999999,0.0109931209999999,-0.01607501,-0.051214074,-0.136204633,-0.154754912,-0.174591558,-0.183491558,-0.160823715,-0.018396998,-0.026396998,,,,,,,,,
312¹úµÀÇÅ,2019-12-10,120.415186,31.450267,point_0,1,2019/12/10,2:49,10:49:00,0.0563,0.0872,0.1066,0.0912,0.079,0.0402,0.0399,0.0369,0.0268,0.0413,0.0153,0.012,0.052089964,0.068375051,0.085931107,0.097628928,0.125484846,0.161872992,0.178846938,0.194656688,0.194048206,0.188407195,0.191933479,0.146156805,-0.00965,0.00415,-0.0053,0.0085999999999999,-0.0056,-0.00525,-0.00475,-0.00505,-0.0092,-0.0291,-0.00935,-0.00705,0.004210036,0.0188249489999999,0.0206688929999999,-0.006428928,-0.046484846,-0.121672992,-0.138946938,-0.157756688,-0.167856688,-0.147107195,-0.036789964,-0.040089964,,,,,,,,,
312¹úµÀÇÅ,2019-12-30,120.415186,31.450267,point_0,1,2019/12/30,2:49,10:49:00,0.0739,0.1036,0.115,0.0996,0.0967,0.0707,0.0698,0.0668,0.0578,0.0957,0.0308,0.0196,0.076004811,0.088519984,0.098169478,0.100598166,0.125056255,0.157242395,0.169052974,0.17929656,0.177070811,0.218275747,0.153604336,0.111676955,0.0079499999999999,0.02055,0.0031,0.0169999999999999,0.0120999999999999,0.0252499999999999,0.02515,0.0248499999999999,0.0217999999999999,0.0253,0.00615,0.00055,-0.002104811,0.015080016,0.016830522,-0.000998166,-0.028356255,-0.086542395,-0.099252974,-0.11249656,-0.12149656,-0.122575747,-0.045204811,-0.056404811,,,,,,,,,
312¹úµÀÇÅ,2020-01-29,120.415186,31.450267,point_0,1,2020/1/29,2:49,10:49:00,0.1083,0.1254,0.1378,0.1082,0.1065,0.0887,0.0853,0.0837,0.0727,0.0862,0.0279,0.0168,0.102184292,0.107520826,0.110031763,0.105592714,0.128253307,0.165557678,0.178133051,0.190146453,0.185038631,0.184480564,0.159382482,0.116757362,0.0423499999999999,0.04235,0.0259,0.0255999999999999,0.0218999999999999,0.04325,0.04065,0.0417499999999999,0.0366999999999999,0.0158,0.00325,-0.00225,0.0061157079999999,0.017879174,0.027768237,0.002607286,-0.021753307,-0.076857678,-0.092833051,-0.106446453,-0.117446453,-0.098280564,-0.074284292,-0.085384292,,,,,,,,,
312¹úµÀÇÅ,2020-02-18,120.415186,31.450267,point_0,1,2020/2/18,2:49,10:49:00,0.0614,0.095,0.1278,0.1036,0.098,0.0442,0.0443,0.0381,0.025,0.0406,0.0127,0.01,0.039266334,0.052787123,0.074050196,0.078704628,0.110246835,0.166379973,0.184605235,0.206707415,0.196992539,0.190981941,0.175546059,0.132513294,-0.00455,0.01195,0.0158999999999999,0.0209999999999999,0.0133999999999999,-0.00125,-0.00035,-0.00385,-0.011,-0.0298,-0.01195,-0.00905,0.022133666,0.042212877,0.053749804,0.024895372,-0.012246835,-0.122179973,-0.140305235,-0.168607415,-0.181707415,-0.150381941,-0.026566334,-0.029266334,,,,,,,,,
312¹úµÀÇÅ,2020-02-23,120.415186,31.450267,point_0,1,2020/2/23,2:49,10:49:00,0.0894,0.102,0.1228,0.0917,0.0912,0.0733,0.072,0.0727,0.0672,0.1018,0.045,0.0334,0.08401609,0.086485343,0.104296495,0.107009138,0.138719819,0.186154633,0.200229585,0.212316955,0.212055211,0.21702895,0.18885453,0.142653622,0.0234499999999999,0.0189499999999999,0.0109,0.0090999999999999,0.0065999999999999,0.02785,0.02735,0.03075,0.0311999999999999,0.0314,0.02035,0.01435,0.0053839099999999,0.0155146569999999,0.018503505,-0.015309138,-0.047519819,-0.112854633,-0.128229585,-0.139616955,-0.145116955,-0.11522895,-0.03901609,-0.05061609,,,,,,,,,
312¹úµÀÇÅ,2020-03-19,120.415186,31.450267,point_0,1,2020/3/19,2:49,10:49:00,0.0741,0.0831,0.1056,0.0825,0.0891,0.0843,0.0869,0.0871,0.0825,0.1273,0.0697,0.058,0.080529024,0.094902793,0.113875349,0.116181366,0.148714567,0.200624235,0.219382225,0.230565563,0.228299811,0.248364381,0.194604615,0.154139409,0.0081499999999999,4.999999999999449e-05,-0.0063,-0.0001,0.0044999999999999,0.0388499999999999,0.04225,0.0451499999999999,0.0465,0.0569,0.04505,0.03895,-0.006429024,-0.011802793,-0.008275349,-0.033681366,-0.059614567,-0.116324235,-0.132482225,-0.143465563,-0.148065563,-0.121064381,-0.010829024,-0.022529024,,,,,,,,,
312¹úµÀÇÅ,2020-04-13,120.415186,31.450267,point_0,1,2020/4/13,2:49,10:49:00,0.1,0.1106,0.1314,0.1086,0.1182,0.0877,0.0819,0.0792,0.0682,0.1139,0.0368,0.0272,0.087232281,0.08534092,0.106460975,0.099968435,0.145817137,0.223389292,0.244460726,0.264635829,0.257070778,0.257964193,0.182814566,0.130981192,0.03405,0.02755,0.0194999999999999,0.0259999999999999,0.0335999999999999,0.0422499999999999,0.03725,0.03725,0.0321999999999999,0.0435,0.01215,0.00815,0.012767719,0.02525908,0.0249390249999999,0.008631565,-0.027617137,-0.135689292,-0.162560726,-0.185435829,-0.196435829,-0.144064193,-0.050432281,-0.060032281,,,,,,,,,
312¹úµÀÇÅ,2020-04-28,120.415186,31.450267,point_0,1,2020/4/28,2:49,10:49:00,0.0608,0.0711,0.0915,0.0621,0.0726,0.0498,0.0519,0.049,0.0465,0.0898,0.0328,0.0296,0.068155021,0.075529575,0.100411812,0.09280125,0.142144319,0.237518508,0.266155531,0.286697586,0.278919135,0.274403048,0.195820123,0.14220938,-0.00515,-0.01195,-0.0204,-0.0205,-0.012,0.0043499999999999,0.00725,0.00705,0.0104999999999999,0.0194,0.00815,0.01055,-0.007355021,-0.004429575,-0.008911812,-0.03070125,-0.069544319,-0.187718508,-0.214255531,-0.237697586,-0.240197586,-0.184603048,-0.035355021,-0.038555021,,,,,,,,,
312¹úµÀÇÅ,2020-05-03,120.415186,31.450267,point_0,1,2020/5/3,2:49,10:49:00,0.0909,0.0881,0.1094,0.0796,0.0956,0.0831,0.0852,0.0768,0.0764,0.127,0.0463,0.0368,0.090384426,0.087477145,0.10750514,0.096911159,0.143926993,0.227794968,0.253156062,0.253901731,0.267832906,0.259323009,0.19132695,0.130213697,0.0249499999999999,0.0050499999999999,-0.0025,-0.003,0.0109999999999999,0.0376499999999999,0.04055,0.0348499999999999,0.0403999999999999,0.0566,0.02165,0.01775,0.0005155739999999,0.0006228549999999,0.0018948599999999,-0.017311159,-0.048326993,-0.144694968,-0.167956062,-0.177101731,-0.177501731,-0.132323009,-0.044084426,-0.053584426,21.96,7.748,9.43,3.393333333333333,0.0186,0.0368,1.506,497.4599999999999,29.34
312¹úµÀÇÅ,2020-05-13,120.415186,31.450267,point_0,1,2020/5/13,2:49,10:49:00,0.0887,0.1124,0.1478,0.1282,0.1297,0.105,0.1078,0.107,0.1025,0.1504,0.0882,0.0719,0.065008811,0.071813807,0.106330058,0.106587278,0.152865197,0.235105743,0.260072719,0.276294748,0.274139778,0.271751089,0.207556124,0.150189718,0.0227499999999999,0.02935,0.0358999999999999,0.0456,0.0451,0.0595499999999999,0.06315,0.06505,0.0664999999999999,0.08,0.06355,0.05285,0.023691189,0.040586193,0.0414699419999999,0.021612722,-0.023165197,-0.130105743,-0.152272719,-0.169294748,-0.173794748,-0.121351089,0.023191189,0.006891189,,,,,,,,,
312¹úµÀÇÅ,2020-07-22,120.415186,31.450267,point_0,1,2020/7/22,2:49,10:49:00,0.1103,0.1094,0.133,0.0883,0.0927,0.0693,0.0694,0.0548,0.0555,0.0943,0.0283,0.0192,0.086681944,0.078657909,0.098899057,0.075884402,0.128057568,0.243380915,0.278935297,0.268548177,0.298784502,0.281095829,0.19377615,0.114980408,0.0443499999999999,0.02635,0.0211,0.0056999999999999,0.0080999999999999,0.0238499999999999,0.02475,0.01285,0.0194999999999999,0.0239,0.00365,0.00015,0.023618056,0.030742091,0.034100943,0.012415598,-0.035357568,-0.174080915,-0.209535297,-0.213748177,-0.213048177,-0.186795829,-0.058381944,-0.067481944,,,,,,,,,
312¹úµÀÇÅ,2020-08-01,120.415186,31.450267,point_0,1,2020/8/1,2:49,10:49:00,0.0656,0.0684,0.105,0.0667,0.0845,0.0413,0.0437,0.0273,0.0333,0.0732,0.0326,0.0278,0.045379364,0.044525236,0.076044391,0.060445514,0.120117115,0.251557945,0.292777146,0.281737794,0.313029315,0.293627148,0.204196096,0.124167418,-0.00035,-0.01465,-0.0069,-0.0159,-0.0001,-0.00415,-0.00095,-0.01465,-0.0027,0.0028,0.0079499999999999,0.00875,0.020220636,0.023874764,0.0289556089999999,0.0062544859999999,-0.035617115,-0.210257945,-0.249077146,-0.254437794,-0.248437794,-0.220427148,-0.012779364,-0.017579364,,,,,,,,,
312¹úµÀÇÅ,2020-08-16,120.415186,31.450267,point_0,1,2020/8/16,2:49,10:49:00,0.0688,0.0873,0.1166,0.0789,0.0911,0.042,0.0428,0.0356,0.0259,0.0624,0.0181,0.0131,0.055093211,0.060397337,0.08373169,0.067483819,0.120088579,0.246640624,0.304777649,0.297001036,0.322594763,0.303410521,0.206956646,0.128320943,0.0028499999999999,0.00425,0.0046999999999999,-0.0037,0.0064999999999999,-0.00345,-0.00185,-0.00635,-0.0101,-0.008,-0.00655,-0.00595,0.0137067889999999,0.026902663,0.03286831,0.0114161809999999,-0.028988579,-0.204640624,-0.261977649,-0.261401036,-0.271101036,-0.241010521,-0.036993211,-0.041993211,,,,,,,,,
312¹úµÀÇÅ,2020-09-05,120.415186,31.450267,point_0,1,2020/9/5,2:49,10:49:00,0.041,0.0513,0.0915,0.0432,0.0576,0.0197,0.022,0.0178,0.0135,0.0612,0.0131,0.0114,0.045677594,0.054258606,0.077605361,0.065942367,0.114616222,0.240902265,0.29364008,0.304770475,0.31049145,0.305364508,0.196116689,0.122483417,-0.02495,-0.03175,-0.0204,-0.0394,-0.027,-0.02575,-0.02265,-0.02415,-0.0225,-0.0092,-0.01155,-0.00765,-0.004677594,-0.002958606,0.013894639,-0.022742367,-0.057016222,-0.221202265,-0.27164008,-0.286970475,-0.291270475,-0.244164508,-0.032577594,-0.034277594,,,,,,,,,
312¹úµÀÇÅ,2020-09-30,120.415186,31.450267,point_0,1,2020/9/30,2:49,10:49:00,0.0669,0.069,0.1132,0.0616,0.1003,0.0516,0.0519,0.0436,0.0363,0.079,0.0206,0.0127,0.078134455,0.073626015,0.092920022,0.07914021,0.125877787,0.226391432,0.258819797,0.264138889,0.275071381,0.267993734,0.178215191,0.111844653,0.0009499999999999,-0.01405,0.0012999999999999,-0.021,0.0156999999999999,0.0061499999999999,0.00725,0.0016499999999999,0.0002999999999999,0.0086,-0.00405,-0.00635,-0.011234455,-0.004626015,0.0202799779999999,-0.01754021,-0.025577787,-0.174791432,-0.206919797,-0.220538889,-0.227838889,-0.188993734,-0.057534455,-0.065434455,,,,,,,,,
312¹úµÀÇÅ,2020-10-05,120.415186,31.450267,point_0,1,2020/10/5,2:49,10:49:00,0.0456,0.0637,0.0982,0.0561,0.0737,0.0369,0.0385,0.0374,0.0308,0.0682,0.0218,0.0161,0.070841297,0.080203633,0.100016926,0.086461268,0.133800208,0.234384594,0.269480405,0.280322973,0.283409156,0.306083366,0.187949771,0.122503493,-0.02035,-0.01935,-0.0137,-0.0265,-0.0109,-0.00855,-0.00615,-0.00455,-0.0052,-0.0022,-0.00285,-0.00295,-0.025241297,-0.016503633,-0.001816926,-0.030361268,-0.060100208,-0.197484594,-0.230980405,-0.242922973,-0.249522973,-0.237883366,-0.049041297,-0.054741297,,,,,,,,,
312¹úµÀÇÅ,2020-10-20,120.415186,31.450267,point_0,1,2020/10/20,2:49,10:49:00,0.0843,0.0946,0.1198,0.0846,0.0928,0.0774,0.0785,0.0762,0.0768,0.1104,0.0358,0.0236,0.076314069,0.074538449,0.09715722,0.088821114,0.136479253,0.220792737,0.247172541,0.263131248,0.266206827,0.26878786,0.189289809,0.122032849,0.0183499999999999,0.01155,0.0079,0.0019999999999999,0.0081999999999999,0.0319499999999999,0.03385,0.03425,0.0407999999999999,0.04,0.01115,0.00455,0.007985931,0.0200615509999999,0.02264278,-0.004221114,-0.043679253,-0.143392737,-0.168672541,-0.186931248,-0.186331248,-0.15838786,-0.040514069,-0.052714069,,,,,,,,,
312¹úµÀÇÅ,2020-10-30,120.415186,31.450267,point_0,1,2020/10/30,2:49,10:49:00,0.1265,0.139,0.1354,0.1166,0.1093,0.1148,0.1105,0.1198,0.1036,0.0961,0.0579,0.0346,0.154474588,0.14121066,0.142156394,0.128959829,0.152841676,0.185376046,0.195242952,0.19923632,0.200445,0.21282689,0.148810388,0.105774004,0.0605499999999999,0.05595,0.0234999999999999,0.0339999999999999,0.0246999999999999,0.06935,0.06585,0.07785,0.0676,0.0257,0.03325,0.01555,-0.027974588,-0.00221066,-0.006756394,-0.012359829,-0.043541676,-0.070576046,-0.084742952,-0.07943632,-0.09563632,-0.11672689,-0.096574588,-0.119874588,,,,,,,,,
312¹úµÀÇÅ,2020-11-04,120.415186,31.450267,point_0,1,2020/11/4,2:49,10:49:00,0.033,0.0616,0.0881,0.0567,0.0535,0.0254,0.0246,0.0221,0.0185,0.0461,0.0209,0.0168,0.03558572,0.054161333,0.080246853,0.0845602,0.127372179,0.193963776,0.218877062,0.235085947,0.238038526,0.239457774,0.198954903,0.138866366,-0.03295,-0.02145,-0.0238,-0.0259,-0.0311,-0.02005,-0.02005,-0.01985,-0.0175,-0.0243,-0.00375,-0.00225,-0.00258572,0.007438667,0.0078531469999999,-0.0278602,-0.073872179,-0.168563776,-0.194277062,-0.212985947,-0.216585947,-0.193357774,-0.01468572,-0.01878572,,,,,,,,,
312¹úµÀÇÅ,2020-11-09,120.415186,31.450267,point_0,1,2020/11/9,2:49,10:49:00,0.0434,0.0578,0.0902,0.0638,0.0619,0.0399,0.0411,0.0418,0.0363,0.0724,0.0349,0.0273,0.048947711,0.058608349,0.086180662,0.094653941,0.135560163,0.194855984,0.215393757,0.232579577,0.235617024,0.226734616,0.200346652,0.136932535,-0.02255,-0.02525,-0.0217,-0.0188,-0.0227,-0.00555,-0.00355,-0.00015,0.0002999999999999,0.002,0.01025,0.00825,-0.005547711,-0.000808349,0.0040193379999999,-0.030853941,-0.073660163,-0.154955984,-0.174293757,-0.190779577,-0.196279577,-0.154334616,-0.014047711,-0.021647711,18.21666666666667,8.183333333333334,8.363333333333333,4.031666666666666,0.0249999999999999,0.0234999999999999,0.6516666666666667,396.5333333333333,21.03333333333333
312¹úµÀÇÅ,2021-01-08,120.415186,31.450267,point_0,1,2021/1/8,2:49,10:49:00,0.0346,0.0614,0.0954,0.0672,0.0531,0.0169,0.0131,0.0162,0.01,0.0379,0.0154,0.0171,0.036852775,0.049922872,0.075860176,0.093265845,0.117676228,0.153094463,0.168694187,0.195174781,0.187414185,0.17776747,0.193315921,0.146682371,-0.03135,-0.02165,-0.0165,-0.0154,-0.0315,-0.02855,-0.03155,-0.02575,-0.026,-0.0325,-0.00925,-0.00195,-0.002252775,0.011477128,0.0195398239999999,-0.026065845,-0.064576228,-0.136194463,-0.155594187,-0.178974781,-0.185174781,-0.13986747,-0.021452775,-0.019752775,,,,,,,,,
312¹úµÀÇÅ,2021-01-13,120.415186,31.450267,point_0,1,2021/1/13,2:49,10:49:00,0.0294,0.0588,0.0925,0.0586,0.0532,0.0183,0.0137,0.0197,0.0134,0.0421,0.0188,0.0191,0.036139626,0.057543945,0.079140693,0.097889233,0.122657278,0.156076822,0.172865554,0.196463178,0.190234388,0.183881196,0.20104988,0.157054662,-0.03655,-0.02425,-0.0194,-0.024,-0.0314,-0.02715,-0.03095,-0.02225,-0.0226,-0.0283,-0.00585,5.000000000000143e-05,-0.006739626,0.0012560549999999,0.013359307,-0.039289233,-0.069457278,-0.137776822,-0.159165554,-0.176763178,-0.183063178,-0.141781196,-0.017339626,-0.017039626,,,,,,,,,
312¹úµÀÇÅ,2021-01-18,120.415186,31.450267,point_0,1,2021/1/18,2:49,10:49:00,0.0454,0.0684,0.1056,0.0821,0.0654,0.0251,0.0235,0.0256,0.0154,0.0433,0.0154,0.0134,0.045030105,0.056924698,0.083099581,0.102130577,0.128062055,0.161550664,0.17715253,0.202823416,0.195653465,0.190432925,0.198971413,0.150171213,-0.02055,-0.01465,-0.0063,-0.0005,-0.0192,-0.02035,-0.02115,-0.01635,-0.0206,-0.0271,-0.00925,-0.00565,0.000369895,0.011475302,0.0225004189999999,-0.020030577,-0.062662055,-0.136450664,-0.15365253,-0.177223416,-0.187423416,-0.147132925,-0.029630105,-0.031630105,5.4,8.094,12.864,1.59,0.07375,0.0638,2.302,419.2,19.225
